Family;Name;Title;Priority;Impact;Description;SupplementarGuidance;Related
SYSTEM AND COMMUNICATIONS PROTECTION;SC-31 (3);MEASURE BANDWIDTH IN OPERATIONAL ENVIRONMENTS;P0;MODERATE,HIGH;The organization measures the bandwidth of [Assignment: organization-defined subset of identified covert channels] in the operational environment of the information system.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-32;INFORMATION SYSTEM PARTITIONING;P0;MODERATE,HIGH;The organization partitions the information system into [Assignment: organization-defined information system components] residing in separate physical domains or environments based on [Assignment: organization-defined circumstances for physical separation of components].;Information system partitioning is a part of a defense-in-depth protection strategy. Organizations determine the degree of physical separation of system components from physically distinct components in separate racks in the same room, to components in separate rooms for the more critical components, to more significant geographical separation of the most critical components. Security categorization can guide the selection of appropriate candidates for domain partitioning. Managed interfaces restrict or prohibit network access and information flow among partitioned information system components.;AC-4,SA-8,SC-2,SC-3,SC-7
SYSTEM AND COMMUNICATIONS PROTECTION;SC-33;TRANSMISSION PREPARATION INTEGRITY;P0;MODERATE,HIGH;[Withdrawn: Incorporated into SC-8].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-34;NON-MODIFIABLE EXECUTABLE PROGRAMS;P0;MODERATE,HIGH;The information system at [Assignment: organization-defined information system components]: Loads and executes the operating environment from hardware-enforced, read-only media, and Loads and executes [Assignment: organization-defined applications] from hardware-enforced, read-only media.;The term operating environment is defined as the specific code that hosts applications, for example, operating systems, executives, or monitors including virtual machine monitors (i.e., hypervisors). It can also include certain applications running directly on hardware platforms. Hardware-enforced, read-only media include, for example, Compact Disk-Recordable (CD-R)/Digital Video Disk-Recordable (DVD-R) disk drives and one-time programmable read-only memory. The use of non-modifiable storage ensures the integrity of software from the point of creation of the read-only image. The use of reprogrammable read-only memory can be accepted as read-only media provided: (i) integrity can be adequately protected from the point of initial writing to the insertion of the memory into the information system, and (ii) there are reliable hardware protections against reprogramming the memory while installed in organizational information systems.;AC-3,SI-7
SYSTEM AND COMMUNICATIONS PROTECTION;SC-34 (1);NO WRITABLE STORAGE;P0;MODERATE,HIGH;The organization employs [Assignment: organization-defined information system components] with no writeable storage that is persistent across component restart or power on/off.;This control enhancement: (i) eliminates the possibility of malicious code insertion via persistent, writeable storage within the designated information system components, and (ii) applies to both fixed and removable storage, with the latter being addressed directly or as specific restrictions imposed through access controls for mobile devices.;AC-19,MP-7
SYSTEM AND COMMUNICATIONS PROTECTION;SC-34 (2);INTEGRITY PROTECTION / READ-ONLY MEDIA;P0;MODERATE,HIGH;The organization protects the integrity of information prior to storage on read-only media and controls the media after such information has been recorded onto the media.;Security safeguards prevent the substitution of media into information systems or the reprogramming of programmable read-only media prior to installation into the systems. Security safeguards include, for example, a combination of prevention, detection, and response.;AC-5,CM-3,CM-5,CM-9,MP-2,MP-4,MP-5,SA-12,SC-28,SI-3
SYSTEM AND COMMUNICATIONS PROTECTION;SC-34 (3);HARDWARE-BASED PROTECTION;P0;MODERATE,HIGH;The organization: Employs hardware-based, write-protect for [Assignment: organization-defined information system firmware components], and Implements specific procedures for [Assignment: organization-defined authorized individuals] to manually disable hardware write-protect for firmware modifications and re-enable the write-protect prior to returning to operational mode.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-35;HONEYCLIENTS;P0;MODERATE,HIGH;The information system includes components that proactively seek to identify malicious websites and/or web-based malicious code.;Honeyclients differ from honeypots in that the components actively probe the Internet in search of malicious code (e.g., worms) contained on external websites. As with honeypots, honeyclients require some supporting isolation measures (e.g., virtualization) to ensure that any malicious code discovered during the search and subsequently executed does not infect organizational information systems.;SC-26,SC-44,SI-3,SI-4
SYSTEM AND COMMUNICATIONS PROTECTION;SC-36;DISTRIBUTED PROCESSING AND STORAGE;P0;MODERATE,HIGH;The organization distributes [Assignment: organization-defined processing and storage] across multiple physical locations.;Distributing processing and storage across multiple physical locations provides some degree of redundancy or overlap for organizations, and therefore increases the work factor of adversaries to adversely impact organizational operations, assets, and individuals. This control does not assume a single primary processing or storage location, and thus allows for parallel processing and storage.;CP-6,CP-7
SYSTEM AND COMMUNICATIONS PROTECTION;SC-36 (1);POLLING TECHNIQUES;P0;MODERATE,HIGH;The organization employs polling techniques to identify potential faults, errors, or compromises to [Assignment: organization-defined distributed processing and storage components].;Distributed processing and/or storage may be employed to reduce opportunities for adversaries to successfully compromise the confidentiality, integrity, or availability of information and information systems. However, distribution of processing and/or storage components does not prevent adversaries from compromising one (or more) of the distributed components. Polling compares the processing results and/or storage content from the various distributed components and subsequently voting on the outcomes. Polling identifies potential faults, errors, or compromises in distributed processing and/or storage components.;SI-4
SYSTEM AND COMMUNICATIONS PROTECTION;SC-37;OUT-OF-BAND CHANNELS;P0;MODERATE,HIGH;The organization employs [Assignment: organization-defined out-of-band channels] for the physical delivery or electronic transmission of [Assignment: organization-defined information, information system components, or devices] to [Assignment: organization-defined individuals or information systems].;Out-of-band channels include, for example, local (nonnetwork) accesses to information systems, network paths physically separate from network paths used for operational traffic, or nonelectronic paths such as the US Postal Service. This is in contrast with using the same channels (i.e., in-band channels) that carry routine operational traffic. Out-of-band channels do not have the same vulnerability/exposure as in-band channels, and hence the confidentiality, integrity, or availability compromises of in-band channels will not compromise the out-of-band channels. Organizations may employ out-of-band channels in the delivery or transmission of many organizational items including, for example, identifiers/authenticators, configuration management changes for hardware, firmware, or software, cryptographic key management information, security updates, system/data backups, maintenance information, and malicious code protection updates.;AC-2,CM-3,CM-5,CM-7,IA-4,IA-5,MA-4,SC-12,SI-3,SI-4,SI-7
